Interest Rate,Rate Spread,Loan Amount,Loan-to-Value Ratio,No Intro Rate Period,Intro Rate Period,Property Value,Income,Debt-to-Income Ratio,Term 360,Conforming,State,Product Type,Race,Ethnicity,Sex,Low-Priced
0.045,0.00033,325000.0,0.944,1,0,335000.0,113000.0,0.37,1.0,1.0,FL,va,White,Non-Hispanic,Male,1.0
0.04375,0.01344,285000.0,0.965,1,0,295000.0,90000.0,0.47,1.0,1.0,CA,fha,Asian,Non-Hispanic,Female,1.0
0.0475,0.00533,85000.0,0.8,1,0,105000.0,40000.0,0.25,1.0,1.0,FL,conventional,White,Non-Hispanic,Male,1.0
0.0525,0.01207,105000.0,1.0073,1,0,105000.0,35000.0,0.25,1.0,1.0,SC,fsa_rhs,White,Non-Hispanic,Male,1.0
0.05,0.00468,465000.0,0.75,1,0,615000.0,94000.0,0.43,1.0,1.0,CA,conventional,White,Non-Hispanic,Female,1.0
0.0475,0.00397,155000.0,0.8,1,0,195000.0,135000.0,0.1,1.0,1.0,AL,conventional,White,Non-Hispanic,Female,1.0
0.03875,-0.0028,505000.0,1.0,1,0,505000.0,110000.0,0.47,1.0,1.0,VA,va,Black,Non-Hispanic,Female,1.0
0.04875,0.00401,195000.0,0.75,1,0,255000.0,105000.0,0.33,1.0,1.0,AZ,conventional,White,Hispanic,Male,1.0
0.05125,0.0149,85000.0,0.9,1,0,95000.0,28000.0,0.33,1.0,1.0,NC,conventional,White,Non-Hispanic,Female,1.0
0.04625,0.0030299999999999,145000.0,0.75,1,0,195000.0,58000.0,0.38,1.0,1.0,CA,conventional,White,Non-Hispanic,Male,1.0
0.05,0.00455,165000.0,0.7826000000000001,1,0,205000.0,50000.0,0.41,1.0,1.0,CA,conventional,White,Non-Hispanic,Female,1.0
0.03375,0.00602,155000.0,1.0042,1,0,165000.0,31000.0,0.55,1.0,1.0,CA,fha,White,Hispanic,Male,1.0
0.045,0.00147,235000.0,0.7,1,0,335000.0,164000.0,0.25,1.0,1.0,PA,conventional,White,Non-Hispanic,Male,1.0
0.0475,0.0028899999999999,565000.0,0.9,1,0,625000.0,158000.0,0.41,1.0,1.0,WA,conventional,White,Non-Hispanic,Male,1.0
0.04375,-0.0017499999999999,55000.0,1.0365,1,0,65000.0,31000.0,0.25,1.0,1.0,MI,conventional,Black,Non-Hispanic,Female,1.0
0.05625,0.0114799999999999,605000.0,0.94,1,0,645000.0,201000.0,0.33,1.0,1.0,CA,conventional,White,Non-Hispanic,Male,1.0
0.055,0.00779,65000.0,0.8987,1,0,75000.0,39000.0,0.38,1.0,1.0,MI,conventional,White,Non-Hispanic,Male,1.0
0.04875,0.00562,255000.0,1.0,1,0,245000.0,76000.0,0.49,1.0,1.0,TX,va,Black,Non-Hispanic,Male,1.0
0.04875,0.00374,155000.0,0.55814,1,0,265000.0,51000.0,0.38,1.0,1.0,ID,conventional,White,Non-Hispanic,Female,1.0
0.04625,0.0015199999999999,345000.0,0.85,1,0,405000.0,115000.0,0.49,1.0,1.0,FL,conventional,White,Non-Hispanic,Male,1.0
0.04625,0.00772,175000.0,0.95,1,0,225000.0,95000.0,0.47,1.0,1.0,CT,fha,White,Non-Hispanic,Male,1.0
0.045,0.00225,195000.0,1.0,1,0,195000.0,64000.0,0.49,1.0,1.0,TX,va,White,Non-Hispanic,Male,1.0
0.045,0.00441,175000.0,1.0101,1,0,175000.0,55000.0,0.42,1.0,1.0,MN,fsa_rhs,White,Non-Hispanic,Female,1.0
0.045,0.00359,895000.0,0.8,1,0,1115000.0,275000.0,0.41,1.0,0.0,TX,conventional,White,Non-Hispanic,Male,1.0
0.04,0.0028,365000.0,1.033,1,0,355000.0,90000.0,0.42,1.0,1.0,OH,va,White,Non-Hispanic,Male,1.0
0.04625,-0.00147,305000.0,1.0,1,0,305000.0,165000.0,0.42,1.0,1.0,AL,conventional,White,Non-Hispanic,Male,1.0
0.0499,0.01426,165000.0,0.9203,1,0,195000.0,33000.0,0.44,1.0,1.0,SC,fha,White,Non-Hispanic,Female,1.0
0.0425,-0.0019089999999999,205000.0,0.8,1,0,255000.0,86000.0,0.33,1.0,1.0,TX,conventional,White,Non-Hispanic,Male,1.0
0.05,0.0057399999999999,265000.0,1.0,1,0,265000.0,49000.0,0.75,1.0,1.0,FL,va,White,Non-Hispanic,Male,1.0
0.04625,0.0127299999999999,175000.0,0.95452,1,0,175000.0,30000.0,0.55,1.0,1.0,UT,fha,White,Hispanic,Female,1.0
0.0425,0.00149,715000.0,0.97878,1,0,715000.0,123000.0,0.44,1.0,0.0,CA,va,White,Hispanic,Male,1.0
0.05625,0.01996,175000.0,0.9818,1,0,175000.0,129000.0,0.38,1.0,1.0,TX,fha,White,Hispanic,Female,0.0
0.05,0.01121,155000.0,1.0101,1,0,155000.0,61000.0,0.37,1.0,1.0,AL,fsa_rhs,White,Non-Hispanic,Female,1.0
0.055,0.02298,555000.0,0.6,0,60,935000.0,183000.0,0.42,1.0,1.0,NY,conventional,Asian,Non-Hispanic,Male,0.0
0.0463,0.00748,325000.0,0.8,1,0,575000.0,89000.0,0.44,1.0,1.0,CA,conventional,White,Non-Hispanic,Male,1.0
0.0399,-0.00521,385000.0,1.0,1,0,385000.0,88000.0,0.55,1.0,1.0,FL,va,White,Non-Hispanic,Male,1.0
0.04375,-0.00048,395000.0,0.8,1,0,495000.0,120000.0,0.36,1.0,1.0,UT,conventional,White,Non-Hispanic,Female,1.0
0.0525,0.00659,305000.0,0.47619,1,0,635000.0,96000.0,0.44,1.0,1.0,FL,conventional,Black,Non-Hispanic,Male,1.0
0.0449899999999999,-0.0006,315000.0,0.9,1,0,345000.0,52000.0,0.46,1.0,1.0,TN,conventional,White,Non-Hispanic,Male,1.0
0.04875,0.00664,65000.0,0.6875,1,0,95000.0,35000.0,0.4,1.0,1.0,FL,conventional,White,Non-Hispanic,Female,1.0
0.045,0.00116,305000.0,0.8,1,0,385000.0,90000.0,0.33,1.0,1.0,NV,conventional,White,Non-Hispanic,Male,1.0
0.04375,-0.000993,365000.0,0.48,1,0,775000.0,92000.0,0.33,1.0,1.0,NY,conventional,Asian,Non-Hispanic,Male,1.0
0.0475,0.01381,175000.0,0.97,1,0,185000.0,56000.0,0.33,1.0,1.0,FL,conventional,White,Hispanic,Male,1.0
0.0475,0.00317,255000.0,0.95,1,0,275000.0,102000.0,0.37,1.0,1.0,KY,conventional,White,Non-Hispanic,Male,1.0
0.045,0.0102,115000.0,0.965,1,0,115000.0,52000.0,0.55,1.0,1.0,NC,fha,White,Non-Hispanic,Male,1.0
0.04875,0.0015,65000.0,0.8,1,0,85000.0,59000.0,0.33,1.0,1.0,AL,conventional,White,Non-Hispanic,Male,1.0
0.04625,0.00801,325000.0,0.97,1,0,335000.0,52000.0,0.47,1.0,1.0,NV,conventional,White,Non-Hispanic,Male,1.0
0.035,-0.01023,395000.0,0.95,1,0,415000.0,76000.0,0.4,1.0,1.0,NJ,conventional,White,Hispanic,Male,1.0
0.05125,0.00953,405000.0,0.95,1,0,435000.0,110000.0,0.46,1.0,1.0,NY,conventional,Black,Non-Hispanic,Female,1.0
0.05875,0.02071,795000.0,0.8,0,60,995000.0,286000.0,0.25,1.0,0.0,CA,conventional,Asian,Non-Hispanic,Male,0.0
0.04875,0.00025,395000.0,0.8,1,0,495000.0,165000.0,0.25,1.0,1.0,AL,conventional,White,Non-Hispanic,Female,1.0
0.055,0.0100099999999999,265000.0,1.0,1,0,265000.0,67000.0,0.36,1.0,1.0,WV,va,White,Non-Hispanic,Male,1.0
0.045,0.00874,685000.0,0.95,0,86,725000.0,249000.0,0.42,1.0,0.0,KS,conventional,White,Non-Hispanic,Male,1.0
